drugname,count
D5 0.9NS w/20meqs KCL (ml/hr),2
D5/.45NSS (ml/hr),5
cisatracurium Volume (ml) (ml/hr),1235
clevidipine (ml/hr),4
platelets (ml/hr),46
Cisatracurium (mcg/kg/min),1665
D5/0.45 NSS (ml/hr),151
plt (ml/hr),3
Pantoprazole (ml/hr),48159
NSS W/ mvi (ml/hr),13
 NS with 20kcl/l  (ml/hr),59
D5 & 0.45NS (ml/hr),19
d5W/.45%NSS + 150mEq NaBicarb (ml/hr),14
Normolsol (ml/hr),8
norcuron (mcg/kg/min),5
D10 1/2 NSS (ml/hr),39
RHI Scale A (units/hr),60
D5 w/ 40 mEq K+ (ml/hr),5
Alteplase-EKOS (mg/hr),24
D5 W (ml/hr),17
Amiodarone (mcg/min) (mcg/min),94
Naloxone (Narcan) (mg/hr),15
Bactrim + D5W (ml/hr),4
Ceftriaxone 2 gm/D5w 250 ml (ml/hr),4
Haldol  (mg/hr),7
D5/0.45NS/20mEqK+ (ml/hr),9
IVF wtih  MVI (ml/hr),8
Glucagon 10 mcg Dextrose 5% 100 ml (mg/hr),1
Volume (mL)-dextrose 5 % and 0.45% NaCl 5-0.45 % bolus 100 mL (ml/hr),3
sterile H2O w/150meq bicarb (ml/hr),2
MSO4 (ml/hr),2
1/2 nss,4
K phos/ KCL IVPB (ml/hr),4
Nitroprusside(Nipride)MAX 100 mg Dextrose 5% 250 ml (mcg/kg/min),62
Tranexamic acid (mg/hr),8
Nicardipine (ml/hr),54862
09% NS,2
D5 1/2 (ml/hr),116
D5 w/150 NaBicab (ml/hr),1
Lidocaine (mcg/min),1
D5/NSS 0.45% (ml/hr),4
IVF w MVI  (ml/hr),9
NS w/60 meq KCl (ml/hr),15
NS with 20 KCL (ml/hr),101
potassium chl (ml/hr),1
IVF Bolus without additives (ml/hr),3
ivf  (ml/hr),12
aminocaproic acid (ml/hr),3
Abciximab (mcg/min),120
Left tPa (ml/hr),4
NaHCO3 (ml/hr),269
TPA flush NS (ml/hr),4
D5/0.45%NS (ml/hr),124
D5LR w/10 KCL (ml/hr),99
1/2NS w/ 100mEq Bicarb (ml/hr),8
D 5 1/2 NS (ml/hr),20
d5lr+10 meq kcl (ml/hr),7
K  ACETATE RIDER (ml/hr),2
Mg (mg/hr),1
FLOLAN (nanograms/kg/min),6
D5LR + 40 meq KCL (ml/hr),16
D5NS W/20 MEQ KCL (ml/hr),16
Hypertonic 3% NS (ml/hr),4
hypertonic NS 3% (ml/hr),2
Magnesium Sulfate (ml/hr),12
d5lr (ml/hr),14
NSS + Potassium (ml/hr),15
D5 ns + 20k,1
D5LR20K (ml/hr),34
Milronone (mcg/kg/min),1
magnesium (ml/hr),112
Mag/KPhos (ml/hr),24
D5 1/2 NS w/ 10 mEq K+ (ml/hr),14
D51/2 NS (ml/hr),73
NSS R femoral (ml/hr),17
D5W with 150meq NaHCO3/L (ml/hr),33
ns + 40 kcl (ml/hr),22
TPA w/ECOS right (ml/hr),18
NS WITH 20 MEQ KCL (ml/hr),28
IVF Bolus (ml/hr),2
FERRIC GLUC (ml/hr),2
Bicarb 150 meq (ml/hr),13
D5 1/2 NS w/ 40meq K (ml/hr),11
narcan (mg/hr),61
D5 NaBicarb150 (ml/hr),23
Lidocaine (mcg/kg/min),3
Calcium CHLORIDE STD 1 g Sodium Chloride 0.9% 100 ml (Unknown),5
1/2NS NaHCO3 (ml/hr),20
D5W WITH HCO3 (ml/hr),33
NS with 100 mg Thiamine (ml/hr),13
1/2NSS w/ 100meq NaBicarb (ml/hr),8
AMINOPHYLLINE (mg/kg/hr),4
Vanco (ml/hr),4
Phenylephrine (ml/hr),60465
Sodium Bicarb,14
NS+ abx (ml/hr),55
LIPIDS (ml/hr),419
Vanco,1
Fentanyl (mcg/hr),258901
TKO (ml/hr),126
TPN mL/hr (ml/hr),24
Cardizam (mg/hr),11
normal slaine  (ml/hr),118
1.8% SALINE (ml/hr),1
D10 (),1
D5/0.45NaCl (ml/hr),23
"D5 0,9 NS  (ml/hr)",5
D5W/0.45% NS (ml/hr),3
3% hypertonic saline  (ml/hr),114
LR w/20meq kcl (ml/hr),10
Hydromorphone,1
D5.45 with thimaine and folic acid (ml/hr),17
0.45% NSS,1
D5 & 150meq Sodium Bicarbonate (ml/hr),5
kcl rider (ml/hr),3
D10 NSS (ml/hr),48
d51/2 (ml/hr),56
MAGNESIUM (mg/hr),58
argatroban,9
D5 in 0.9NS with vitamins (ml/hr),9
NIMBEX (mcg/kg/hr),160
IVF WithOut Additives (ml/hr),1
pitossin (ml/hr),4
Cisatracurium IVF Infused (ml/hr),4201
MIV/thiamine/folic (ml/hr),2
acetadote (ml/hr),46
Na Bicarb (ml/hr),129
PCA dilaudid (ml/hr),17
D51/2NS with 20mEq KCL (ml/hr),24
0.45NS w/20mEq KCL (ml/hr),67
0.9% Sodium Chloride NSS,1
D5 .9 NSS,3
D5/ 0.9NSS (ml/hr),9
D5Ww/3ampNaHC03 (ml/hr),30
primacore (mcg/kg/min),28
D 5 W (ml/hr),27
Transeximic Acid (mg/hr),18
DILAUDED (mg/hr),4
TPA w/ECOS left (ml/hr),18
D5/0.45%NaCl,1
D5/0.9%NS,3
H2O flush (ml/hr),149
Nicardipine (mcg/kg/min),22
Propofol (mcg/hr),21
Bicarb 250 mEq/250 mls (ml/hr),29
Phenylephrine (),6756
bicarb 3amps + k (ml/hr),3
d5.45 with bicarb (ml/hr),2
D5+MVI (ml/hr),51
VAsopressin (units/min),114
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/kg/hr),407
D5/0.45NS/K+40meq (ml/hr),11
Dilaudid PCA (mg/hr),341
D5w,6
H20 w/150mEq Bicarb (ml/hr),19
D5 0.45% ns (ml/hr),24
Protamine 250 mg Sodium Chloride 0.9% 100 ml (mg/hr),1
KCL 20 meq in NS (ml/hr),12
1L Sterile Water w/150 mEq Bicarb,4
D51/2 (ml/hr),100
D5 1/2NSS w/75meq bicarb (ml/hr),28
D5W with 150 meq NaHCO3 (ml/hr),6
tf (ml/hr),64
NiCARDipine (std) 50 mg Sodium Chloride 0.9% 500 ml (mg/hr),454
Left  Heparin (units/hr),3
0.45%NS w/ MVI,2
Versed,1
MIV (ml/hr),15127
1.8 NaCl (ml/hr),11
ms pca (mg/hr),1
Norepinephrine (Unknown),5
Atracurium (mcg/kg/min),281
Isoproterenol (mcg/min),1575
D5W/.9%NS (ml/hr),3
oxacillin (ml/hr),28
D5W w/10 kcl  (ml/hr),18
0.9NS/20KCL (ml/hr),17
Normal Saline (mg/hr),8
Folic Acid/Thiamine,1
Morphine PCA (mg/hr),52
D5NS1/4 (ml/hr),22
MORPHINE PCA (ml/hr),1
kryder (ml/hr),14
D.45NS (ml/hr),3
NS with 20 mEq KCl (ml/hr),8
FE Dextran (ml/hr),33
D5. 0.45 NS with150 mEq NaHCO3,1
NS w/ 30meq K+ (ml/hr),15
NS W/ 20 K+ (ml/hr),3
plasma (ml/hr),5
0.9% NS,24
D5 1/2 NS + 150 MEQ BICARB (ml/hr),10
Alteplase(tPA)VasculrSur 20 mg Sodium Chloride 0.9% 100 ml (mg/hr),1
d5nss (ml/hr),2
D5 1/2NS +40meq KCL (ml/hr),8
ivbp (ml/hr),1
ivf bolus (ml/hr),2
D5W 1/2NS (ml/hr),35
"0,45%NSS (ml/hr)",10
keatmine (mg/hr),29
D5 LR,4
0.9% Saline,1
NS + MV/Thiamine/Folic acid (ml/hr),32
alteplase (ml/hr),64
Flagyl (ml/hr),5
.45 NaCl (ml/hr),52
.45%NS + 150meq bicarb (ml/hr),3
0.45%NS w Na Bicarb (ml/hr),11
PLTS (ml/hr),19
D5LR with 10 meq kcl (ml/hr),9
Magnesium,14
PROTONIX (units/hr),3
Esmolol (mcg/kg/min),6892
Methylpredisolone (ml/hr),7
Veletri (ml/hr),226
octreotide (ml/hr),7
zosyn (ml/hr),174
oxytocin (ml/hr),6
tpa,2
lipid (ml/hr),4
3% SALINE (ml/hr),330
propofol (mcg/kg/min),235
Sandostatin (ml/hr),64
NSS with LEVO (ml/hr),32
LEVOTHYROXINE (mcg/hr),24
IVF NaCl 0.45% (ml/hr),4
ivf (ml/hr),10260
Isosource TF (ml/hr),19
D5W + 20 KCL (ml/hr),31
LR w/40mEq KCL (ml/hr),1
levothyroxine (mcg/min),5
acetylcystene (ml/hr),2
D5NS + 20 mEq KCL + 10 mmol KPhos,1
D5+0.45NSS (ml/hr),12
aminocaproic acid  (ml/hr),8
0.3%NS (ml/hr),30
PRBS (ml/hr),9
Lidocaine (mg/min),1878
K-rider (ml/hr),8
Bicarb  (ml/hr),2
LACTATED RINGERS (ml/hr),102
Alteplase (tPA) Stroke/PE 100 mg Sterile Water (SWFI) 100 ml (mg/hr),4
Albumin (ml/hr),277
D 5 .45 (ml/hr),77
NS +20KCL,5
 NS with 20kcl/l ,2
.45ns (ml/hr),4
D5 0.9%,1
narcan,2
D5 0.45% 20k (ml/hr),19
NS + KCL (ml/hr),3
Milrinone (mcg/kg/hr),8
Sterile H20 + NaHCO3 150meq (ml/hr),6
D5 0.45%NS (ml/hr),80
PLTs (ml/hr),2
cycstacurium (mg/hr),61
Plasma (ml/hr),10
KPO4 (ml/hr),5
D5 1/2NS with 40mEq K (ml/hr),29
NS+MVI (ml/hr),63
D5 0.45 (ml/hr),63
PRBCS (ml/hr),9
D5/0.45NS/K (ml/hr),7
D5W (ml/hr),6942
Bumetanide (mg/min),3
D5 .45%NS w/fol/thiam. (ml/hr),27
D5  1/2 NS,1
0.45%ns with 75 meq sodium bicarb (ml/hr),8
bicarb GTT 8.4% with 75 meq (ml/hr),6
D5 w/250meq bicarb,1
0.9% NS Venous Sheath (ml/hr),30
D5wNaHCO3150 (ml/hr),3
IV Fluids (ml/hr),3
clevidipine (mg/hr),44
D5/0.2%NS w/ KCL (ml/hr),16
D5 w/NSBicarb (ml/hr),20
sodium bicarg gtt (ml/hr),3
D5/ 0.45%NS/ thiamine and folic acid/ vitamin (ml/hr),9
ketamine (mg/kg/min),34
D5 1/2NS 20mEqKCL (ml/hr),8
D5 1/2NSS w 75meq HCO3 (ml/hr),3
NS W/20K,1
D5 NSS,1
Nimbex (mg/kg/min),21
PO Contrast (ml/hr),6
1000cc D5W  150 meq NAHCO3 (ml/hr),7
Magnesium Sulfate STD 1 g Sterile Water (SWFI) 500 ml  Premix (Unknown),1
 NS with MVI,1
D5w+150meq  sodium bicarb (ml/hr),22
Normosol-R (ml/hr),45
esmolol (mcg/kg/min),19
nss/control (ml/hr),10
dobutrex (mcg/kg/min),90
LR w/ Anbx (ml/hr),102
LR w/ 40mEq K (ml/hr),10
normal saline  (ml/hr),172
ivf 2 (ml/hr),7
LR w/40Kcl (ml/hr),6
neosynephrine (mcg/min),29
Nembutal (mg/kg/hr),5
D5W/150 mEq Bicard (ml/hr),1
LR KCL (ml/hr),28
Insulin- Scale B (units/hr),26
D5 0.45 NS (ml/hr),288
LR/ 20 mEq KCl (ml/hr),15
plat (ml/hr),1
nimbex/cisatracurium (mcg/kg/min),7
Integrilin mL/hr (ml/hr),51
"D5NS MVI, THIAMINE, FOLATE (ml/hr)",24
Hespan (ml/hr),8
Volume (ml) Eptifibatide,4
D5 1/2NS,4
NSS w KCL (ml/hr),10
D5 .45NSS (ml/hr),15
D5+Bicarb (ml/hr),2
Potassium CL (Peripheral) 10 mEq Sterile Water (SWFI) 100 ml  Premix (Unknown),24
BUMEX/ALBUMIN (ml/hr),2
NS 10 mEq K (ml/hr),47
Fent PCA Mode (ml/hr),2
Sterile water with 3 amps of HCO3 (ml/hr),43
D10 W/ NS (ml/hr),7
Tranexamic Acid (ml/hr),65
Acetadote (mg/kg/hr),4
D51/2NS20KCL10MMKPHO (ml/hr),35
TUBE FEEDS (ml/hr),5
IV without additives (ml/hr),8
NS with 20KCl  (ml/hr),2
SODIUM BICARBONATE / 0.45%NS (ml/hr),32
Cisatracurium (Nimbex)MAX 200 mg Sodium Chloride 0.9% 500 ml (mcg/kg/min),123
NS+50MEQ HCO3 (ml/hr),2
bolus insulin (units/hr),4
3 %NaCl (ml/hr),34
D5 1/2 NSS w/ 40KCL (ml/hr),14
Aminocaproic acid STD 25 g Sodium Chloride 0.9% 250 ml (Unknown),1
Midazolam,598
Thiamine Bag (ml/hr),12
NS abx line (ml/hr),64
Heparin (units/kg/hr),4435
blood transfusion (ml/hr),6
NS W/ 10MEQ KCL (ml/hr),22
 MIV (ml/hr),5
Sterile Water w/ 500 meq NaHCO3 (ml/hr),10
D5+0.45%NS+potphos (ml/hr),10
NormalSaline (ml/hr),6
D5 w/150mEq NaHCO3 (ml/hr),12
na bicarb (ml/hr),9
Sodium Bicarb IVF Infused (ml/hr),25468
NSS 20 KCL (ml/hr),72
 3% NACL (ml/hr),34
Multivitamin fluid (ml/hr),36
D5LR+MVI (ml/hr),5
Norepinephrine MAX 32 mg Dextrose 5% 500 ml (mcg/min),15
Vecuronium IVF Infused (ml/hr),306
PLASMONATE (ml/hr),9
0.45NS 150 bicarb (ml/hr),1
tpn (ml/hr),430
DOBUTamine MAX 1000 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),156
D5/.9NS (ml/hr),3
Mycomyst-Bag #2 (ml/hr),2
Argatroban  (mcg/kg/min),38
Dextran 40 (10%) (ml/hr),4
D51/2ns with 20kcl/l (ml/hr),39
D5 w/200 meq Bicarb (ml/hr),4
Dextrose 10 (ml/hr),28
Heparin (mcg/kg/hr),7
Reglan (ml/hr),4
 0.9 NS (ml/hr),10
propofol (ml/hr),3
cyklokapron (ml/hr),14
D5 LR w/40KCL (ml/hr),3
Novolin-R 250 Units/Ns 250 ml (ml/hr),1
D5/SodiumBicarbonate  (ml/hr),79
K PHOS RIDER (ml/hr),60
glucagon (ml/hr),2
D5W + NaBicarb (ml/hr),8
Lactated Ringers (ml/hr),1363
1/2NS20K (ml/hr),7
Calcium GLUCONATE MAX 2 g Sodium Chloride 0.9% 2600 ml (Unknown),1
SW/150meqNaHCO3 (ml/hr),27
Nitroglycerin (Unknown),130
D5W w/ 150 Nahco3 (ml/hr),9
Phenylephrine (mcg/min),48318
LR/ 20 mEq KCl,3
Alteplase (mcg/hr),1
Volume-Transfuse RBC (ml/hr),3632
neosynsprine (mcg/kg/hr),6
VIT BAG (ml/hr),1
VancoMycin (ml/hr),2
Calcium Chloride 6gms in 500ml d5w (ml/hr),40
Milrinone (ml/hr),53978
Intralipids (ml/hr),10
D5 W/150meq NAHCO3 (ml/hr),25
NSS with anti (ml/hr),12
dextrose 10% in water (ml/hr),7
0.45% NS w/40meq KCL (ml/hr),19
NS 0.45% (ml/hr),2
NeoSynephrine (mcg/min),17
acetylysteine (mg/kg/hr),16
EPINEPHrine(Adrenalin)STD 7 mg Sodium Chloride 0.9% 250 ml (mcg/min),4
FB (ml/hr),12
pRBC's (ml/hr),4
1/2 NS w/40meqK+ (ml/hr),19
t-PA (mg/hr),2
narcan (mcg/kg/hr),124
0.9NS w/20meq KCL (ml/hr),45
D5 75meq Sodium Bicarbonate (ml/hr),12
albumin5% (ml/hr),2
fent epi (ml/hr),1
D5. 45NaCL (ml/hr),10
1.8% NaCl (ml/hr),48
Dilaudid  (mg/hr),10
Tpn  (ml/hr),12
NSS w/ Mg (ml/hr),8
D5.45 with 20 KCL,1
D5/NS (ml/hr),13
anidulafungin (ml/hr),5
Vasopressin 40 Units Sodium Chloride 0.9% 200 ml (units/min),1
altepase (mg/hr),43
D5 w amp HCO3 (ml/hr),8
Abciximab (Reopro) 7.2 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),2
D5/.45NS (ml/hr),111
bicarb,5
NSS kvo (ml/hr),10
10% DEXT/NS (ml/hr),2
0.45ns with acetylcysteine6985mg -  (ml/hr),18
0.45 NSS w/ bicarb (ml/hr),13
NS w/5g Mag sulfate (ml/hr),50
IVF Banana bag (ml/hr),2
glucerna 1.5 per peg (ml/hr),47
D5 LR with kcl (ml/hr),8
D/5&1/2NS w/150NaHCO3 (ml/hr),25
D5 NSS w/ MVI (ml/hr),4
versed (ml/hr),78
Norepinephrine (),24793
N-Acetylcystine,1
argatroban (mcg/kg/hr),13
D5LR/10meqKCL (ml/hr),9
D5W w/ 100 mEq Sodium Bicarbonate  (ml/hr),10
LR + 40 mEq (ml/hr),4
10% DEXTROSE (ml/hr),1
D5 w/ 150 mEq HCO3,3
NS K+ (ml/hr),1
IVF with MVI (ml/hr),62
Hepain (ml/hr),5
IVF w/ Bicarb (ml/hr),5
D5 1/2NS with 20meq Potassium (ml/hr),8
N/S 20 KCL (ml/hr),1
D5 w/ 150mEq BiCarb,2
3 nacl (ml/hr),37
3%Hypertonic (ml/hr),53
D5.45 NS + 20 meq KCL (ml/hr),21
Meropenem (ml/hr),1
MVI (ml/hr),184
bicarb 3amps (ml/hr),56
1/2 NS 20MEQKCL 10MMOLKPHOS (ml/hr),7
D5 Sodium Bicarb (ml/hr),15
D5 1/2 NSS 40kcl (ml/hr),8
D5 1/2NS w/ MVI folate & thiamine (ml/hr),8
Mannitol 20% (ml/hr),1
NiCARDipine (premix) 50 mg Sodium Chloride 0.9% 500 ml (mg/hr),8
D5 w/150meq HC03 (ml/hr),2
D5W w/ 150 Bicarb (ml/hr),1
Alteplase (Cathflo) (mg/hr),4
Morphine pca mode (ml/hr),2
IVPB,1
D5W with sodium bicarb (ml/hr),5
diprivan (mcg/min),29
D5W/.45%NS (ml/hr),15
NaCL ).45% with MVI (ml/hr),28
ns bolus (ml/hr),28
NS + 20meqKCL (ml/hr),11
Pantoprazole (mg/hr),37535
D5%NS (ml/hr),21
D5/Sodium Bicarb (ml/hr),24
Dexmedetomidine,655
Epinephrine (mcg/kg/min),3101
0.45NS/ Bicarb 150 mEq (ml/hr),18
Norepinephrine (mcg/min),192059
D5/.45Ns+20KCl (ml/hr),39
Eptifibatide,21
Amiodarone (maintenance) 900 mg Dextrose 5% 500 ml (mg/min),413
Desferal (ml/hr),4
TPN,17
angiomax (mcg/kg/min),6
.9% NS (ml/hr),28
LR  (ml/hr),98
morphine pca (mg/hr),62
Fentanyl,1591
NSS Bolus (ml/hr),104
Lactated Ringer (ml/hr),251
D5W+MVI/Thiamine/FolicAcid (ml/hr),20
0.45 NSS/Sodium Bicarbonate 150meq (ml/hr),30
Ativan ,1
DOPamine STD 15 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),2
PRBC,14
0.9 Saline (ml/hr),45
Anmiocaproic Acid (ml/hr),37
Sodium Phos (ml/hr),9
cleocin (ml/hr),2
3% Hypertonic (ml/hr),61
D5LRw/40KCl (ml/hr),11
 NS with MVI (ml/hr),12
ns w/ 3 amp bicarb (ml/hr),50
D5+0.45%NSS40K (ml/hr),11
plts (ml/hr),1
mannitol (ml/hr),18
Lorazepam (mg/hr),5551
bactrum ,1
D10/.45NaCL (ml/hr),10
d5/0.45 ns (ml/hr),8
D5.45NSw/40Kcl (ml/hr),19
0.9W/20K (ml/hr),26
Privigen  (ml/hr),3
D5 .45%NS (ml/hr),11
Dexmetetomidine (Precedex) (mcg/kg/hr),584
NS w/20 KCL (ml/hr),44
Eptifibatide (Integrilin) 75 mg  100 ml  Premix (mg/hr),2
Volume (mL)-sodium chloride 0.9 % bolus 700 mL (ml/hr),1
Dilaudid PCA (),8
D5W + NaHCO3 150meq (ml/hr),83
MVI/Thiamine gtt (ml/hr),48
D5W0.9% (ml/hr),8
Insulin (units/hr),252838
IVF w KCL (ml/hr),9
Bupivicaine 0.125% (ml/hr),63
1/2 NS 1 amp HCO3 (ml/hr),10
Volume (mL)-sodium chloride 0.9 % bolus 300 mL (ml/hr),1
D5 with bicarb (ml/hr),24
1L sterile H2O/NaBicarb 150 meq  (ml/hr),1
D5 BiCarb (ml/hr),7
D5 0.9% NS (ml/hr),43
D5.45 W/ 20KCL (ml/hr),12
D5 + 150 meq Bicarb (ml/hr),17
Vasopressin 20 Units Sodium Chloride 0.9% 100 ml (units/hr),5
NiCARDipine (std) 20 mg Sodium Chloride 0.9% 200 ml (mg/hr),1
D5 w/150mEq Bicarb,1
D5 .45NS w/NaHCO3 (ml/hr),5
D5 1/2 nss (ml/hr),28
Argatroban (mcg/kg/min),3405
MVI Infusion (ml/hr),15
Fluid bolus (ml/hr),8
ABT,2
Bupivacaine 0.5%/fentanyl 1000mcg (ml/hr),64
ALTEPASE (mg/hr),55
Bicarb 8.4% (ml/hr),6
vanco 0.04 mg/ml (ml/hr),4
IVF WithOut VasoActives (ml/hr),9
IVF w additives (ml/hr),6
Dilaudid PCA pump (mg/hr),11
Lorazepam,37
TPA flush  (ml/hr),5
Integrilin (ml/hr),2
3%NaCL (ml/hr),3
D5 w/ 150mEq NaBicarb (ml/hr),5
Abciximab (mcg/kg/min),130
cisatracurium Volume (ml),2
0.9 % NS (ml/hr),93
3% NA CL (ml/hr),45
norma lsaline (ml/hr),77
0.45% NACL,1
ivf without vasoactives (ml/hr),50
D10NSS (ml/hr),17
CisAtracurium (mcg/kg/min),22
Treprostinil (nanograms/kg/min),11
D5.45NS w/MVI (ml/hr),18
sodium citrate  (ml/hr),12
NaCl 0.9% (ml/hr),109
NS+40K (ml/hr),53
Integrilin (mcg/kg/min),61
argatroban  (mcg/kg/min),108
0.45% NSS with 75 mEq bicarb (ml/hr),3
"Calcium Gluconate 2,000 mg in Sodium Chloride 0.9% 100 ml (ml/hr)",4
NImbex (mcg/kg/min),354
D5 45NS (ml/hr),25
D5W w/ 150meq NaHCO3 (ml/hr),23
NS 40K (ml/hr),12
D5W1/2NS (ml/hr),10
D5/0.45% NaCl/40mEq KCL (ml/hr),23
Sodium bicarb 150meg/1 liter (ml/hr),5
3% NSS (ml/hr),1
Albumin 25% ,1
ALBUMIN/BUMEX (ml/hr),3
Labetalol STD 500 mg Sodium Chloride 0.9% 500 ml (mg/min),36
Vecuronium  (mcg/kg/min),15
Theophylline (mg/kg/hr),3
azithromycin (ml/hr),3
0.9%ns (ml/hr),22
"0.9NS w/thiamine, mvi and folate (ml/hr)",21
water w/ 150 bicarb (ml/hr),27
D5W LR (ml/hr),44
Rituximab (mg/hr),10
Epinephrine (mcg/min),14662
"Volume (ml) Heparin-heparin 25,000 units in 0.45 % sodium chloride 500 mL infusion (ml/hr)",8874
0.9% normal saline (ml/hr),44
d5 .45ns 40kcl (ml/hr),7
Dexmedetomidine (units/min),1
Diltiazem (mg/hr),39042
1/2 ns (ml/hr),31
Furosemide (mg/hr),19293
Sterile Water + 3 amps bicarb (ml/hr),25
nss w/ 40meq KCL (ml/hr),4
ns w/ 20 meq kcl (ml/hr),37
Propofol (mg/min),2
Hydromorphone (ml/hr),25
Potassium CL (Central) 20 mEq Sterile Water (SWFI) 50 ml  Premix (Unknown),62
D5/NA bicarb,1
dilaudid PCA (mg/hr),90
IVF  (ml/hr),81
tpn (),19
1/2 NS + KCl 20 mEq (ml/hr),61
200 meq sodium bicarb/sterile water (ml/hr),6
D30W/85 meq KCL/60 units insulin (ml/hr),3
fentanyl epidural (ml/hr),7
d5W/.45%NSS (ml/hr),5
Insulin (Scale B) (units/hr),75
NUTREN 1..5 (ml/hr),243
D5 1/2 NS with 40KCL (ml/hr),26
Norepinephrine (mcg/hr),21
RHI (units/hr),56
D5 & 0.45% NS (ml/hr),17
Dobutamine (mcg/kg/min),23197
Ampicillin (ml/hr),3
precedex (mcg/kg/hr),258
MVI,2
epidural,3
Labetalol,26
D5& 0.9NS with MVI (ml/hr),3
NSS + Abx,1
DEXTRAN (ml/hr),5
Nitroglycerin (mcg/hr),2
Clindamycin (ml/hr),8
Water Flush,1
NSS/ atbx (ml/hr),176
D5 1/2 NS multi vit (ml/hr),5
EKOS-main (ml/hr),2
NS with 20 KCl (ml/hr),16
Nitroprusside,62
nss/abx,3
miv,1
nss (ml/hr),2347
D5 w/ 150 mEq HCO3 (ml/hr),21
D5 1/2 NS w/20meq K+ (ml/hr),14
NiCARDipine (premix) 20 mg Sodium Chloride 0.9% 200 ml (mg/hr),557
NS w/MVI,1
3% normal saline (ml/hr),64
Albumin 5% 25gm/250ml  (ml/hr),1
Bupivicaine Epidural (ml/hr),49
D5 0.45NS w/10K+ (ml/hr),15
d10,2
NUTREN 1.5,4
D51/2nss with 40 kcl (ml/hr),3
Abciximab (Reopro) 7.2 mg Sodium Chloride 0.9% 250 ml (mcg/min),3
NS 20meq K (ml/hr),14
Bivalirudin (mcg/kg/hr),10
FENTANYL PCA (mcg/hr),39
.02 NS (ml/hr),1
NSS w/abx (ml/hr),7
1/2 NS /SOD BICARB (ml/hr),5
PROTONIX (ml/hr),5
nafcillin (mg/hr),50
1/2 NS w/ 40 KCL (mg/hr),8
NiCARDipine (std) 50 mg  500 ml  Sodium Chloride 0.45% (mg/hr),10
D5 0.45 50meq (ml/hr),3
Rocuronium (ml/hr),17
D5+Bicarb 150meq (ml/hr),14
D5 1/2 NS WITH 20 KCL,1
NSS/ anbx (ml/hr),4
LR/D5/20mEq K+ (ml/hr),12
Agatroban (mcg/kg/min),168
meTHYLpredNISolone (ml/hr),21
Aminocaproic Acid (ml/hr),4
Rocuronium,7
Nimbex  (mcg/kg/min),185
0.45 NS w/ 20mEq KCL  (ml/hr),6
D5/0.2%NS w/ KCL,1
D5W + 3amp bicarb (ml/hr),4
AMICAR (ml/hr),288
Promote Tube Feed (ml/hr),47
MUCOMYST DRIP (ml/hr),1
NSS w/ABX (ml/hr),36
Ativan (ml/hr),26
D5/0.9NSS (ml/hr),35
normasol (ml/hr),89
d5ns,1
D5 .45% NS (ml/hr),9
Fentanyl PCA (mcg/hr),224
Bilvarudin (mg/kg/hr),8
1.8 % NaCl (ml/hr),20
NEO-SYNEPHRINE (mcg/min),3
PRBC |*--date_scrubbed--*| (ml/hr),5
d5.45ns with 20meq kcl (ml/hr),3
.45% Normal Saline (ml/hr),143
sodium bicarb 150 MEQ/D5 (ml/hr),14
1/2 NS w/ 40mEq K+ (ml/hr),12
Lasix (mg/hr),65
magnesiym (ml/hr),15
fentanyl/bupivicaine (ml/hr),64
Morphine (),1627
vancomycin (ml/hr),4
NaBicarb (ml/hr),138
Bivalirudin (Angiomax) 125 mg Sodium Chloride 0.9% 25 ml (mg/kg/hr),6
Lactated Ringer's (ml/hr),19
PIV (ml/hr),2
Acetylcysteine 20% 3 ml in Sterile Diluent 0 ml (ml/hr),11
d5 1/2ns  (ml/hr),9
NS abx (ml/hr),205
Heparin-EKOS (units/hr),24
D51/2,1
D5 1/2 w/20meq KCL (ml/hr),16
D5HCO3 (ml/hr),34
3% Sodium (ml/hr),62
Vasopressin (units/kg/min),1
dobutrex,1
LR + 10 meq KCl  (ml/hr),35
D5 1/2NS w/ 75mEq NaBicarb (ml/hr),7
Replete,3
ketamine (),3
Nimbex (mg/kg/hr),49
NSS bolus (ml/hr),21
MultiVit (ml/hr),9
Alteplase IVF Infused (ml/hr),2616
D5/.45NaCl MVI (ml/hr),25
d5w/.45%NSS + 40mEqK (ml/hr),2
PROTONEX (mg/hr),37
0.9NS with ABx (ml/hr),54
Heparin 25000 Units Dextrose 5% 950 ml  Premix (units/kg/hr),5
cisatracurium (ml/hr),16
Magnesium Sulfate STD 2 g Sterile Water (SWFI) 50 ml  Premix (Unknown),8
Levothyroxine (mcg/kg/min),6
cardizem (mg/hr),38
Narcan (ml/hr),18
Epidural ropivacaine (ml/hr),3
Epidural: 0.1% Bupivicaine/ 40mcg/ml Duramorph (ml/hr),117
LR,113
PCA Morphine (mg/hr),52
Vasopressin (ml/hr),65562
D5 w/150 NaBicarb (ml/hr),17
Milrinone (Primacor) 40 mg Dextrose 5% 200 ml (mcg/kg/min),93
D5NS,16
0.5 NS (ml/hr),6
Platelet (ml/hr),10
D5  1/2 NS (ml/hr),44
